code,name,market,industry,ticker
1101,台泥,TWSE,水泥工業,1101.TW
1102,亞泥,TWSE,水泥工業,1102.TW
1103,嘉泥,TWSE,水泥工業,1103.TW
1104,環泥,TWSE,水泥工業,1104.TW
1108,幸福,TWSE,水泥工業,1108.TW
1109,信大,TWSE,水泥工業,1109.TW
1110,東泥,TWSE,水泥工業,1110.TW
1201,味全,TWSE,Other,1201.TW
1203,味王,TWSE,Other,1203.TW
1210,大成,TWSE,Other,1210.TW
1213,大飲,TWSE,Other,1213.TW
1215,卜蜂,TWSE,Other,1215.TW
1216,統一,TWSE,Other,1216.TW
1217,愛之味,TWSE,Other,1217.TW
1218,泰山,TWSE,Other,1218.TW
1219,福壽,TWSE,Other,1219.TW
1220,台榮,TWSE,Other,1220.TW
1225,福懋油,TWSE,Other,1225.TW
1227,佳格,TWSE,Other,1227.TW
1229,聯華,TWSE,Other,1229.TW
1231,聯華食,TWSE,Other,1231.TW
1232,大統益,TWSE,Other,1232.TW
1233,天仁,TWSE,Other,1233.TW
1234,黑松,TWSE,Other,1234.TW
1235,興泰,TWSE,Other,1235.TW
1236,宏亞,TWSE,Other,1236.TW
1256,鮮活果汁-KY,TWSE,Other,1256.TW
1301,台塑,TWSE,Other,1301.TW
1303,南亞,TWSE,Other,1303.TW
1304,台聚,TWSE,Other,1304.TW
1305,華夏,TWSE,Other,1305.TW
1307,三芳,TWSE,Other,1307.TW
1308,亞聚,TWSE,Other,1308.TW
1309,台達化,TWSE,Other,1309.TW
1310,台苯,TWSE,Other,1310.TW
1312,國喬,TWSE,Other,1312.TW
1313,聯成,TWSE,Other,1313.TW
1314,中石化,TWSE,Other,1314.TW
1315,達新,TWSE,Other,1315.TW
1316,上曜,TWSE,建材營造業,1316.TW
1319,東陽,TWSE,汽車工業,1319.TW
1321,大洋,TWSE,Other,1321.TW
1323,永裕,TWSE,Other,1323.TW
1324,地球,TWSE,Other,1324.TW
1325,恆大,TWSE,Other,1325.TW
1326,台化,TWSE,Other,1326.TW
1337,再生-KY,TWSE,Other,1337.TW
1338,廣華-KY,TWSE,汽車工業,1338.TW
1339,昭輝,TWSE,汽車工業,1339.TW
1340,勝悅-KY,TWSE,Other,1340.TW
1341,富林-KY,TWSE,Other,1341.TW
1342,八貫,TWSE,其他業,1342.TW
1402,遠東新,TWSE,紡織纖維,1402.TW
1409,新纖,TWSE,紡織纖維,1409.TW
1410,南染,TWSE,紡織纖維,1410.TW
1413,宏洲,TWSE,紡織纖維,1413.TW
1414,東和,TWSE,紡織纖維,1414.TW
1416,廣豐,TWSE,其他業,1416.TW
